"Plant","Soil","Treat","Date","weight_g","dryWeight","plant_weight","pot_plus_plate_weight","bulkDen","totalLeafArea_cm2","GWC","VWC","nday"
102,"B","CONTROL",2018-05-31,4230.1,3163.71779139147,36.9,136.2,1.48681043649228,NA,28.2352051450091,41.9803976861002,16
102,"B","CONTROL",2018-06-13,4204.9,3163.71779139147,36.9,136.2,1.48681043649228,NA,27.4386739225161,40.7961067515056,29
102,"B","CONTROL",2018-05-18,4231.4,3163.71779139147,36.9,136.2,1.48681043649228,NA,28.2762960414076,42.0414920597102,3
102,"B","CONTROL",2018-06-20,4172,3163.71779139147,36.9,136.2,1.48681043649228,NA,26.3987581598169,39.2499491424516,36
105,"B","DRY",2018-06-20,3611.2,3326.3,21.5,121.3,1.5111098033931,206.111817,4.2720139494333,6.45548215922073,36
105,"B","DRY",2018-06-07,3705.3,3326.3,21.5,121.3,1.5111098033931,206.111817,7.10098307428675,10.7303651372832,23
105,"B","DRY",2018-05-22,4004.2,3326.3,21.5,121.3,1.5111098033931,206.111817,16.0869434506809,24.3091379549544,7
105,"B","DRY",2018-05-18,4237.9,3326.3,21.5,121.3,1.5111098033931,206.111817,23.1127679403541,34.9259302182189,3
105,"B","DRY",2018-06-13,3581.3,3326.3,21.5,121.3,1.5111098033931,206.111817,3.37311727745544,5.09715058595756,29
105,"B","DRY",2018-05-31,3813.9,3326.3,21.5,121.3,1.5111098033931,206.111817,10.3658719898987,15.6639707846538,16
105,"B","DRY",2018-05-16,4325.4,3326.3,21.5,121.3,1.5111098033931,206.111817,25.7433184018278,38.900980808872,1
105,"B","DRY",2018-05-24,3939.9,3326.3,21.5,121.3,1.5111098033931,206.111817,14.1538646544208,21.3880436351944,9
112,"B","CONTROL",2018-05-31,4391.6,3131.6552963634,55.3,129.8,1.4717424514914,NA,34.3219352680594,50.5130491513429,16
112,"B","CONTROL",2018-06-07,4259.6,3131.6552963634,55.3,129.8,1.4717424514914,NA,30.1069119813878,44.3096204463236,23
112,"B","CONTROL",2018-06-13,4216.1,3131.6552963634,55.3,129.8,1.4717424514914,NA,28.717870216462,42.2653087139877,29
112,"B","CONTROL",2018-05-18,4094.4,3131.6552963634,55.3,129.8,1.4717424514914,NA,24.8317464741292,36.5459354306479,3
112,"B","CONTROL",2018-05-24,4240.6,3131.6552963634,55.3,129.8,1.4717424514914,NA,29.5002040840639,43.4167026781769,9
112,"B","CONTROL",2018-05-22,4326.1,3131.6552963634,55.3,129.8,1.4717424514914,NA,32.2303896220216,47.4348326348371,7
112,"B","CONTROL",2018-06-20,4172.2,3131.6552963634,55.3,129.8,1.4717424514914,NA,27.3160556536977,40.2021987128487,36
112,"B","CONTROL",2018-05-16,4135,3131.6552963634,55.3,129.8,1.4717424514914,NA,26.1281854547267,38.4539597141614,1
114,"B","CONTROL",2018-05-18,3942.3,3076.41304260919,46.6,130.4,1.4457809831074,NA,22.3925379280849,32.3747054999363,3
114,"B","CONTROL",2018-06-20,4124.4,3076.41304260919,46.6,130.4,1.4457809831074,NA,28.3117691066641,40.9326173725424,36
114,"B","CONTROL",2018-05-24,4033.6,3076.41304260919,46.6,130.4,1.4457809831074,NA,25.3602798644071,36.6654103542413,9
114,"B","CONTROL",2018-06-07,4058.4,3076.41304260919,46.6,130.4,1.4457809831074,NA,26.1664134900456,37.8309030200328,23
114,"B","CONTROL",2018-05-16,3986.1,3076.41304260919,46.6,130.4,1.4457809831074,NA,23.8162739282044,34.4331159338745,1
114,"B","CONTROL",2018-05-22,4113.7,3076.41304260919,46.6,130.4,1.4457809831074,NA,27.9639614536668,40.4297636820598,7
114,"B","CONTROL",2018-06-13,4013.2,3076.41304260919,46.6,130.4,1.4457809831074,NA,24.6971699465432,35.7066986452837,29
114,"B","CONTROL",2018-05-31,4061.8,3076.41304260919,46.6,130.4,1.4457809831074,NA,26.2769318096896,37.9906883048591,16
116,"B","CONTROL",2018-05-31,3859.4,2716.51271883884,236.9,127.5,1.27664340739356,NA,28.6575975058904,36.585532927633,16
116,"B","CONTROL",2018-05-22,4104.6,2716.51271883884,236.9,127.5,1.27664340739356,NA,37.6838758774052,48.1088717039265,7
116,"B","CONTROL",2018-06-20,3921.6,2716.51271883884,236.9,127.5,1.27664340739356,NA,30.9472978105732,39.5086637265133,36
116,"B","CONTROL",2018-05-16,4086.2,2716.51271883884,236.9,127.5,1.27664340739356,NA,37.0065368805215,47.2441513389844,1
116,"B","CONTROL",2018-05-18,4045.3,2716.51271883884,236.9,127.5,1.27664340739356,NA,35.5009300885356,45.3220283538686,3
116,"B","CONTROL",2018-05-24,4029.1,2716.51271883884,236.9,127.5,1.27664340739356,NA,34.9045772760619,44.5606984673434,9
116,"B","CONTROL",2018-06-07,3934.1,2716.51271883884,236.9,127.5,1.27664340739356,NA,31.40744658563,40.0961096266099,23
116,"B","CONTROL",2018-06-13,3917.9,2716.51271883884,236.9,127.5,1.27664340739356,NA,30.8110937731563,39.3347797400848,29
120,"B","DRY",2018-06-13,3312.7,3051,18.1,111.2,1.4280446682972,288.268403,4.33956079973779,6.19708666281707,29
120,"B","DRY",2018-05-16,4053,3051,18.1,111.2,1.4280446682972,288.268403,28.6037364798427,40.8474133734174,1
120,"B","DRY",2018-06-07,3354.8,3051,18.1,111.2,1.4280446682972,288.268403,5.71943625040972,8.1676104430633,23
120,"B","DRY",2018-05-18,3956.9,3051,18.1,111.2,1.4280446682972,288.268403,25.453949524746,36.3493769059195,3
120,"B","DRY",2018-05-24,3646,3051,18.1,111.2,1.4280446682972,288.268403,15.2638479187152,21.7974566380205,9
120,"B","DRY",2018-05-22,3717,3051,18.1,111.2,1.4280446682972,288.268403,17.5909537856441,25.1206677638514,7
120,"B","DRY",2018-06-20,3283,3051,18.1,111.2,1.4280446682972,288.268403,3.36610947230417,4.80695468482866,36
120,"B","DRY",2018-05-31,3466.1,3051,18.1,111.2,1.4280446682972,288.268403,9.367420517863,13.377094926232,16
122,"B","DRY",2018-05-24,3643.8,2952.4,20.3,94.1,1.47104862072151,237.601201,19.5434223005013,28.7493244193304,9
122,"B","DRY",2018-06-20,3207.3,2952.4,20.3,94.1,1.47104862072151,237.601201,4.75884026554669,7.00048540886644,36
122,"B","DRY",2018-05-31,3483.8,2952.4,20.3,94.1,1.47104862072151,237.601201,14.1241024251457,20.7772413914399,16
122,"B","DRY",2018-05-22,3708.3,2952.4,20.3,94.1,1.47104862072151,237.601201,21.728085625254,31.9630703899488,7
122,"B","DRY",2018-05-18,3931,2952.4,20.3,94.1,1.47104862072151,237.601201,29.2711014767647,43.059213454394,3
122,"B","DRY",2018-06-13,3258.6,2952.4,20.3,94.1,1.47104862072151,237.601201,6.49640970058258,9.55653452968385,29
122,"B","DRY",2018-06-07,3322.4,2952.4,20.3,94.1,1.47104862072151,237.601201,8.65736350088065,12.7354026370552,23
122,"B","DRY",2018-05-16,3997.9,2952.4,20.3,94.1,1.47104862072151,237.601201,31.5370545996478,46.3925406704308,1
127,"B","DRY",2018-06-20,3544.5,3284.5,19,97.4,1.44948840688983,159.418024,4.37205054041711,6.33723657267102,36
127,"B","DRY",2018-05-18,4122.6,3284.5,19,97.4,1.44948840688983,159.418024,21.9729030293804,31.8494682068014,3
127,"B","DRY",2018-05-16,4217.8,3284.5,19,97.4,1.44948840688983,159.418024,24.871365504643,36.0507559624997,1
127,"B","DRY",2018-05-31,3712,3284.5,19,97.4,1.44948840688983,159.418024,9.47176130309027,13.7292082016571,16
127,"B","DRY",2018-06-07,3622.6,3284.5,19,97.4,1.44948840688983,159.418024,6.74988582737098,9.78388125460421,23
127,"B","DRY",2018-06-13,3581.3,3284.5,19,97.4,1.44948840688983,159.418024,5.49246460648501,7.96126377235274,29
127,"B","DRY",2018-05-24,3841.2,3284.5,19,97.4,1.44948840688983,159.418024,13.4053889480895,19.4309558701048,9
