Code_orig,Treat,Soil,Code,Plant,Type,Date,Time,delta_D_various,delta_O18_various,Comments
BAG_A94_SOIL_180524,BAG,A,A94,94,Soil,180524,8,-33.38103724,-4.942993652,
CONTROL_A95_R_180524,CONTROL,A,A95,95,Root,180524,8,-38.88156909,-4.889161441,
CONTROL_A95_SOIL_180524,CONTROL,A,A95,95,Soil,180524,8,-22.25193778,-2.911351099,
CONTROL_A95_S_180524,CONTROL,A,A95,95,Stem,180524,8,-39.45824198,-4.16280412,
DRY_B117_ROCK_180524,DRY,B,B117,117,Rock,180524,8,-29.32984773,-4.921665933,
DRY_B117_R_180524,DRY,B,B117,117,Root,180524,8,-44.63979816,-5.308991917,
DRY_B117_S_180524,DRY,B,B117,117,Stem,180524,8,-38.78987888,-4.608691341,
DRY_B117_SOIL_180524,DRY,B,B117,117,Soil,180524,8,-29.34145143,-3.307938646,
DRY_B118_ROCK_180524,DRY,B,B118,118,Rock,180524,8,-32.33945761,-5.099080943,
DRY_B118_R_180524,DRY,B,B118,118,Root,180524,8,-37.52198599,-4.525796002,
DRY_B118_S_180524,DRY,B,B118,118,Stem,180524,8,NA,NA,doubt
DRY_B118_SOIL_180524,DRY,B,B118,118,Soil,180524,8,-29.39534148,-3.688160899,
CONTROL_B121_ROCK_180524,CONTROL,B,B121,121,Rock,180524,8,-25.29505262,-4.23101247,
CONTROL_B121_R_180524,CONTROL,B,B121,121,Root,180524,8,-42.52786357,-5.528933305,
CONTROL_B121_SOIL_180524,CONTROL,B,B121,121,Soil,180524,8,-30.66875396,-4.725248747,
CONTROL_B121_S_180524,CONTROL,B,B121,121,Stem,180524,8,-42.09149798,-4.750916817,
DRY_B146_ROCK_180524,DRY,B,B146,146,Rock,180524,8,-22.41895324,-3.618169641,
DRY_B146_R_180524,DRY,B,B146,146,Root,180524,8,NA,NA,doubt
DRY_B146_SOIL_180524,DRY,B,B146,146,Soil,180524,8,-31.77333005,-3.477646476,
DRY_B146_S_180524,DRY,B,B146,146,Stem,180524,8,-35.24243924,-4.033710844,
DRY_B148_ROCK_180524,DRY,B,B148,148,Rock,180524,8,-31.73443584,-5.079917951,
DRY_B148_R_180524,DRY,B,B148,148,Root,180524,8,-33.75192131,-3.37888564,
DRY_B148_S_180524,DRY,B,B148,148,Stem,180524,8,-37.62881138,-4.036159169,
DRY_B148_SOIL_180524,DRY,B,B148,148,Soil,180524,8,-30.16726556,-3.409907653,
CONTROL_B151_SOIL_180524,CONTROL,B,B151,151,Stem,180524,8,-34.58355106,-3.529969837,
CONTROL_B151_S_180524,CONTROL,B,B151,151,Soil,180524,8,-28.36823072,-2.095126696,
CONTROL_B161_R_180524,CONTROL,B,B151,151,Root,180524,8,-37.53557117,-4.485490315,
CONTROL_B61_ROCK_180524,CONTROL,B,B151,151,Rock,180524,8,-26.5644553,-4.09903507,
CONTROL_B156_ROCK_180524,CONTROL,B,B156,156,Rock,180524,8,-32.97035975,-5.504197047,
CONTROL_B156_R_180524,CONTROL,B,B156,156,Root,180524,8,-40.75353922,-5.720673398,
CONTROL_B156_SOIL_180524,CONTROL,B,B156,156,Soil,180524,8,-31.80315359,-4.356074279,
CONTROL_B156_S_180524,CONTROL,B,B156,156,Stem,180524,8,-42.52613566,-4.048462033,
DRY_B160_ROCK_180524,DRY,B,B160,160,Rock,180524,8,-27.63664069,-4.380482845,
DRY_B160_SOIL_180524,DRY,B,B160,160,Soil,180524,8,-32.0584844,-3.680907379,
DRY_B160_S_180524,DRY,B,B160,160,Stem,180524,8,-39.46429367,-3.800669458,
DRY_B160_S_180524,DRY,B,B160,160,Root,180524,8,-40.01269012,-4.414557103,
DRY_B165_S_180517,DRY,B,B165,165,Stem,180524,8,-42.60889912,-5.029227021,
DRY_C163_R_180524,DRY,C,C163,163,Root,180524,8,-38.8509926,-4.709046924,
DRY_C163_SOIL_180524,DRY,C,C163,163,Soil,180524,8,-36.71238186,-5.158552464,
DRY_C163_S_180524,DRY,C,C163,163,Stem,180524,8,-39.56210818,-4.439504827,
DRY_C165_R_180524,DRY,C,C165,165,Root,180524,8,-37.97030357,-4.424923516,
DRY_C165_S_180524,DRY,C,C165,165,Stem,180524,8,-38.00750111,-3.554416332,
DRY_C170_R_180524,DRY,C,C170,170,Root,180524,8,-40.04356136,-4.36791973,
DRY_C170_S_180524,DRY,C,C170,170,Stem,180524,8,-39.74028776,-4.827970309,
DRY_C170_SOIL_180524,DRY,C,C170,170,Soil,180524,8,-28.15171008,-3.3323131,
DRY_C176_R_180524,DRY,C,C176,176,Root,180524,8,-36.28942362,-3.838790463,
DRY_C176_SOIL_180524,DRY,C,C176,176,Soil,180524,8,-33.3452306,-4.697213129,
DRY_C176_S_180524,DRY,C,C176,176,Stem,180524,8,-38.73931466,-4.577910807,
CONTROL_C181_R_180524,CONTROL,C,C181,181,Root,180524,8,-41.12810721,-4.806011413,
CONTROL_C181_SOIL_180524,CONTROL,C,C181,181,Soil,180524,8,-24.82390103,-3.320535877,
CONTROL_C191_S_180524,CONTROL,C,C181,181,Stem,180524,8,-45.65084346,-4.51021228,
CONTROL_C165_SOIL_180524,CONTROL,C,C190,190,Soil,180524,8,-26.29983512,-3.47825561,
CONTROL_C190_R_180524,CONTROL,C,C190,190,Root,180524,8,-35.97718644,-3.668132411,
CONTROL_C190_S_180524,CONTROL,C,C190,190,Stem,180524,8,-36.09051996,-4.149598372,
DRY_C209_R_180524,DRY,C,C209,209,Root,180524,8,-23.28382335,-1.393403645,
DRY_C209_SOIL_180524,DRY,C,C209,209,Soil,180524,8,-19.93576239,-2.072707954,
DRY_C209_S_180524,DRY,C,C209,209,Stem,180524,8,-37.88096775,-3.93882636,
CONTROL_C214_R_180524,CONTROL,C,C214,214,Root,180524,8,-37.88776649,-4.774251866,
CONTROL_C214_SOIL_180524,CONTROL,C,C214,214,Soil,180524,8,-28.86215091,-4.074110461,
CONTROL_C241_S_180524,CONTROL,C,C214,214,Stem,180524,8,-40.3508656,-4.019839685,
DRY_A10_R_180531,DRY,A,A10,10,Root,180531,16,-40.77826366,-6.235339721,
DRY_A10_S_180531,DRY,A,A10,10,Stem,180531,16,-36.46475471,-3.353399889,
DRY_A10_SOIL_180531,DRY,A,A10,10,Soil,180531,16,-31.68447475,-3.380296751,
DRY_A16_R_180531,DRY,A,A16,16,Root,180531,16,-38.30921497,-4.668525687,
DRY_A16_S_180531,DRY,A,A16,16,Stem,180531,16,-34.66161157,-3.369434228,
DRY_A16_SOIL_180531,DRY,A,A16,16,Soil,180531,16,-33.95781925,-3.794224876,
DRY_A23_R_180531,DRY,A,A23,23,Root,180531,16,-44.45773158,-5.711481437,
DRY_A23_S_180531,DRY,A,A23,23,Stem,180531,16,-38.70111335,-5.159324661,
DRY_A23_SOIL_180531,DRY,A,A23,23,Soil,180531,16,-36.52977061,-4.586150279,
DRY_A27_R_180531,DRY,A,A27,27,Root,180531,16,-43.77384643,-6.343062074,
DRY_A27_SOIL_180531,DRY,A,A27,27,Soil,180531,16,-35.25471721,-4.290385113,
DRY_A278_S_180531,DRY,A,A27,27,Stem,180531,16,-35.8304084,-3.761993608,
DRY_A36_R_180531,DRY,A,A36,36,Root,180531,16,-38.66278749,-4.141951139,
DRY_A36_S_180531,DRY,A,A36,36,Stem,180531,16,-41.13896934,-4.581701818,
DRY_A36_SOIL_180531,DRY,A,A36,36,Soil,180531,16,-24.09133076,-2.66465859,
DRY_B103_ROCK_180531,DRY,B,B103,103,Rock,180531,16,-14.84635552,-0.822047272,
DRY_B103_S_180531,DRY,B,B103,103,Stem,180531,16,-35.11643027,-3.347327218,
DRY_B103_SOIL_180531,DRY,B,B103,103,Soil,180531,16,-36.588969,-3.100903327,
DRY_B107_R_180531,DRY,B,B103,103,Root,180531,16,-37.32845512,-3.600374383,
DRY_B106_ROCK_180531,DRY,B,B106,106,Rock,180531,16,-19.99860838,-2.825937909,
DRY_B106_R_180531,DRY,B,B106,106,Root,180531,16,-41.54284033,-6.247579827,
DRY_B106_S_180531,DRY,B,B106,106,Stem,180531,16,-34.05790727,-3.799323282,
DRY_B106_SOIL_180531,DRY,B,B106,106,Soil,180531,16,-30.96052608,-3.175878702,
DRY_B134_ROCK_180531,DRY,B,B134,134,Rock,180531,16,NA,NA,doubt
DRY_B134_R_180531,DRY,B,B134,134,Root,180531,16,-39.13912394,-4.85572024,
DRY_B134_SOIL_180531,DRY,B,B134,134,Soil,180531,16,-27.76013399,-2.469229885,
DRY_B134_STEM_180531,DRY,B,B134,134,Stem,180531,16,-36.64596983,-3.540926377,
DRY_B153_ROCK_180531,DRY,B,B153,153,Rock,180531,16,-19.39028418,-2.541764291,
DRY_B153_R_180531,DRY,B,B153,153,Root,180531,16,-31.25659992,-4.043821581,
DRY_B153_S_180531,DRY,B,B153,153,Stem,180531,16,-31.23968377,-3.479189649,
DRY_B153_SOIL_180531,DRY,B,B153,153,Soil,180531,16,-35.51641147,-3.904024809,
DRY_B158_ROCK_180531,DRY,B,B158,158,Rock,180531,16,-13.19059386,-1.119858334,
DRY_B158_R_180531,DRY,B,B158,158,Root,180531,16,-34.60295232,-4.238993925,
DRY_B158_S_180531,DRY,B,B158,158,Stem,180531,16,-37.84941887,-3.536483312,
DRY_B158_SOIL_180531,DRY,B,B158,158,Soil,180531,16,-30.3403527,-2.654290027,
DRY_C138_STEM_180531,DRY,C,C183,183,Stem,180531,16,-36.20928701,-4.041362649,
