soilType,plantID,Date_yyyymmdd,height_cm,diam_mm
C,179,20180509,35,6.29
B,155,20180509,42,9.2
A,43,20180509,38.5,7.12
C,165,20180509,45,8.28
B,156,20180509,39,4.78
C,219,20180509,40.5,5
A,74,20180509,39,7.35
B,131,20180509,33.5,6.65
C,185,20180509,40,8.17
C,202,20180509,30,4.8
B,101,20180509,46,7.45
A,75,20180509,40,6.93
A,32,20180509,34,6.05
A,92,20180509,32,4.53
B,115,20180509,28.5,4.29
C,178,20180509,44,7.92
A,2,20180509,36.5,5.3
B,122,20180509,34,4.9
A,37,20180509,43,4.78
C,189,20180509,40.5,7.2
B,119,20180509,43,10.97
C,196,20180509,28.5,5.85
B,111,20180509,42,7.92
C,180,20180509,29,4.58
B,160,20180509,31.5,4.31
C,167,20180509,33,4.48
B,139,20180509,39.5,7.43
C,204,20180509,34,7.15
B,158,20180509,25.5,4.34
A,302,20180509,47.5,6.09
A,301,20180509,29,6.31
A,303,20180509,39,5.6
A,306,20180509,30.5,7.09
B,NA,20180509,39,6.26
B,NA,20180509,33,6.26
A,304,20180509,28,6.73
B,401,20180509,40,5.02
A,309,20180509,32,4.35
A,308,20180509,36,6.66
B,NA,20180509,45,6.83
B,NA,20180509,36,6.58
A,311,20180509,41.5,6.84
A,315,20180509,34,4.37
A,305,20180509,30,5.1
A,310,20180509,28.5,4.56
B,402,20180509,30.5,6.15
A,307,20180509,37,8.39
C,169,20180531,41,7.7
B,109,20180531,39.5,8.91
A,91,20180531,27.5,6.08
A,15,20180531,36,5.46
A,313,20180531,46,5.4
B,129,20180531,31.5,4.18
A,4,20180531,39,6.12
A,76,20180531,38,7.1
A,27,20180531,34,7.73
C,207,20180531,38,6.49
B,126,20180531,38.5,6.56
A,312,20180531,32,6.09
A,314,20180531,32.5,6.12
C,177,20180531,32,6.2
A,18,20180531,41,7.24
B,120,20180531,29,4.97
C,191,20180531,41,7.03
A,25,20180531,54,8.19
A,65,20180531,57,7.8
C,212,20180531,39,4.4
A,14,20180531,30,3.82
A,86,20180531,37,5.7
A,31,20180531,34,5.18
C,183,20180531,39,6
B,137,20180531,49,8.21
C,172,20180531,37,4.23
A,16,20180531,36,8.58
A,59,20180531,40,3.3
B,102,20180531,38,6.15
C,195,20180531,29,7.21
B,128,20180531,38,4.69
A,66,20180531,43,4.18
A,9,20180531,33,6.21
A,73,20180531,41,6.52
B,134,20180531,43,6.03
A,35,20180531,36,5.96
A,67,20180531,40,5.65
A,38,20180531,40,6.72
C,168,20180531,50,8.24
B,149,20180531,37,5.03
A,6,20180531,31,5.41
A,52,20180531,29,6.57
B,116,20180531,33,5.78
C,194,20180531,45,5.54
B,154,20180531,44,9.12
A,26,20180531,47,6.73
A,56,20180531,47,7.82
C,211,20180531,51,7.12
A,46,20180531,39,6.08
A,77,20180531,33,6
A,45,20180531,41,7.47
C,186,20180531,34,5.76
B,133,20180531,36,7.01
B,157,20180531,41,8.71
A,58,20180531,39,7.87
A,3,20180531,48,5.81
C,208,20180531,42,5.86
A,40,20180531,30,7.01
B,124,20180531,48,10.01
C,200,20180531,36,5.59
A,47,20180531,36,6.21
B,135,20180531,49,6.09
A,53,20180531,52,8.75
A,8,20180531,32,6.44
A,63,20180531,44,4.65
B,138,20180531,33,5.63
A,88,20180531,43,5.19
A,33,20180531,30,6.18
C,205,20180531,32,4.42
A,51,20180531,46,7.62
B,140,20180531,49,7.5
C,201,20180531,36,5.56
A,41,20180531,44,5.72
C,182,20180531,42,5.77
B,107,20180531,31,4.52
A,78,20180531,48,10
B,152,20180531,47,7.6
A,21,20180531,46,5.73
A,96,20180531,40,6.24
B,112,20180531,37,6.24
A,95,20180531,42,5
C,210,20180531,30,5.68
A,44,20180531,49,5.68
A,83,20180531,47,7.84
B,103,20180531,39,8.86
C,198,20180531,40,3.44
A,61,20180531,44,7.17
B,150,20180531,36,6.95
A,11,20180531,36,9.75
A,10,20180531,39,6.03
C,192,20180531,29,6.61
C,206,20180531,44,6.5
B,145,20180531,34,7.12
C,166,20180531,50,6.72
A,55,20180531,33,6
A,5,20180531,31,3.7
A,98,20180531,43,8
B,159,20180531,38,7.41
A,28,20180531,48,6.42
C,217,20180531,42.5,4.68
A,68,20180531,30,7.1
A,29,20180531,40,6.16
A,97,20180531,24,4.73
C,216,20180531,39,5.61
