Plant,Date,Soil,Treat,pd_wp,notes_pd_wp,md_wp,notes_md_wp
132,180613,B,DRY,-2.54,nothing,-2.561,nothing
135,180613,B,DRY,-3.952,nothing,-3.897,nothing
144,180613,B,DRY,-1.076,nothing,-2.178,nothing
164,180613,C,DRY,-1.218,nothing,-1.692,nothing
167,180613,C,DRY,-1.216,nothing,-1.658,nothing
168,180613,C,DRY,-2.5,nothing,-3.519,nothing
182,180613,C,DRY,-1.075,nothing,-1.513,nothing
206,180613,C,DRY,-2.109,nothing,-2.433,nothing
9,180620,A,DRY,-4.383,nothing,-5.342,measurements from 12.30 to 14.30
12,180620,A,DRY,-1.807,nothing,-2.423,measurements from 12.30 to 14.30
15,180620,A,DRY,-1.504,nothing,-2.531,measurements from 12.30 to 14.30
21,180620,A,DRY,-1.89,nothing,-2.459,measurements from 12.30 to 14.30
89,180620,A,DRY,-2.644,nothing,-2.854,measurements from 12.30 to 14.30
109,180620,B,DRY,-2.507,nothing,-2.356,measurements from 12.30 to 14.30
115,180620,B,DRY,-1.789,nothing,-2.981,measurements from 12.30 to 14.30
123,180620,B,DRY,-1.816,nothing,-2.519,measurements from 12.30 to 14.30
143,180620,B,DRY,-2.773,nothing,-2.76,measurements from 12.30 to 14.30
150,180620,B,DRY,-2.372,nothing,-2.662,measurements from 12.30 to 14.30
188,180620,C,DRY,-3.987,nothing,-4.075,measurements from 12.30 to 14.30
189,180620,C,DRY,-4.32,nothing,-4.277,measurements from 12.30 to 14.30
208,180620,C,DRY,NA,value below -7.2 Mpa,NA,value below -7.2 Mpa. measurements from 12.30 to 14.30
212,180620,C,DRY,-2.512,nothing,-2.856,measurements from 12.30 to 14.30
216,180620,C,DRY,NA,value below -7.2 Mpa,NA,value below -7.2 Mpa. measurements from 12.30 to 14.30
24,180531,A,CONTROL,NA,NA,NA,NA
48,180531,A,CONTROL,NA,NA,NA,NA
95,180531,A,CONTROL,NA,NA,NA,NA
121,180531,B,CONTROL,NA,NA,NA,NA
151,180531,B,CONTROL,NA,NA,NA,NA
156,180531,B,CONTROL,NA,NA,NA,NA
181,180531,C,CONTROL,NA,NA,NA,NA
190,180531,C,CONTROL,NA,NA,NA,NA
214,180531,C,CONTROL,NA,NA,NA,NA
